"","Keyword","Clicks","CPC","CTR"
"1","",16611633.92,16.6284293193717,2.59371727748691
"2","0 apr credit card",885.63,6.59602094240838,3.48795811518325
"3","0 apr credit cards",1651.68,15.6199476439791,3.1565445026178
"4","0 credit card",10350.97,22.0579581151832,3.47905759162304
"5","0 credit cards",3178.44,42.1635078534031,2.98324607329843
"6","0 interest credit card",904.88,43.2932460732984,2.93403141361257
"7","0 interest credit cards",1712.29,36.5605235602094,2.83821989528796
"8","100 home equity loan",0,0,0
"9","1031 exchange",1.98,0.0192146596858639,0.0743455497382199
"10","125 equity loan",0,0,0
"11","125 home equity loan",0,0,0
"12","125 refinance",0,0,0
"13","21 auto century insurance",0,0,0
"14","21st century insurance",0,0,0
"15","accept credit",237.97,3.20649214659686,1.69581151832461
"16","accept credit cards",1671.74,14.8956544502618,3.52931937172775
"17","accept credit cards online",650.73,13.8475916230366,3.31204188481675
"18","accident car Florida lawyer",0,0,0
"19","accident lawyer michigan",0,0,0
"20","acid reflux disease diet",19.38,0.139528795811518,0.453403141361257
"21","acid reflux treatment",503.43,13.9065968586387,2.00942408376963
"22","action class lawsuit vioxx",0,0,0
"23","ad sense",630.09,2.09020942408377,3.19581151832461
"24","ad words",1091.8,17.7907853403141,2.43350785340314
"25","administration lease software",0,0,0
"26","adsense",27553.67,8.13680628272251,2.37486910994764
"27","Adsense",0,0,0
"28","Adsense Expert",0,0,0
"29","Adsense Hacking",0,0,0
"30","Adsense High paying keywords",0,0,0
"31","adsense marketing",0,0,0
"32","adsense program",0,0,0
"33","Adsense Tips",3.42,0.0244502617801047,0.0382198952879581
"34","Adsense Tools",18.17,2.29717277486911,0.259162303664921
"35","Adsense tricks and tips",0,0,0
"36","adverse credit remortgage",21.59,2.95151832460733,0.432984293193717
"37","adverse remortgage",0,0,0
"38","adword",644.24,26.5229842931937,2.89319371727749
"39","adwords",34033.36,16.6058115183246,2.33717277486911
"40","adwords advertising",464.88,18.8087434554974,3.36282722513089
"41","adwords login",830.02,9.86298429319372,2.76910994764398
"42","adwords management",705.82,14.9379057591623,2.66230366492147
"43","adwords marketing",334.04,29.176335078534,3.16596858638743
"44","adwords select",0,0,0
"45","aetna health insurance",65.3,2.23565445026178,0.961780104712042
"46","aetna insurance",0,0,0
"47","affiliate per click",0,0,0
"48","affiliate programs",3649.83,11.0093717277487,2.90837696335079
"49","affordable insurance",0,0,0
"50","airlines credit card",19.19,0.329842931937173,0.368062827225131
"51","alicante car rental spain",81.46,0.137905759162304,1.53507853403141
"52","all state insurance",10.66,0.0241884816753927,0.152356020942408
"53","American credit",0,0,0
"54","American express credit",0,0,0
"55","american family insurance",0,0,0
"56","american singles",148.26,6.15895287958115,2.62984293193717
"57","ameriquest",0,0,0
"58","ameriquest mortgage",0,0,0
"59","angeles attorney los tax",0,0,0
"60","angeles criminal defense lawyer los",0,0,0
"61","angeles criminal defense los",0,0,0
"62","angeles criminal lawyer los",0,0,0
"63","anti spam appliance",0,0,0
"64","anti spam exchange",80.44,1.80162303664921,1.11361256544503
"65","anti spam exchange server",3.68,0.190785340314136,0.0963350785340314
"66","anti spam lotus notes",0,0,0
"67","apply credit card",4162.29,14.8559162303665,3.43612565445026
"68","apply credit cards",1309.5,22.6474869109948,3.53979057591623
"69","apply for a credit card",1498.27,19.7988481675393,3.4979057591623
"70","apply for credit card",10893.47,12.0224607329843,4.93664921465969
"71","apply for credit cards",986.02,9.50565445026178,3.85026178010471
"72","arizona law lemon",0,0,0
"73","asbestos",20543.36,20.3209947643979,1.91884816753927
"74","Asbestos Cancer",134.06,30.7051832460733,1.25549738219895
"75","at and t",0,0,0
"76","at and t cell phones",0,0,0
"77","at and t mobile",0,0,0
"78","at and t phones",0,0,0
"79","at t wireless",0,0,0
"80","ATT call conference",0,0,0
"81","ATT conference",0,0,0
"82","ATT go",0,0,0
"83","att go phone",0,0,0
"84","att prepaid",0,0,0
"85","att prepaid wireless",0,0,0
"86","att wireless com",0,0,0
"87","Attorney",1737.65,9.80890052356021,1.42094240837696
"88","attorney defense federal",0,0,0
"89","attorney injury new personal york",0,0,0
"90","attorney law lemon",0,0,0
"91","augmentation breast diego san",0,0,0
